Year,State Code,STATE,Districts,PRIMARY SECTOR,SECONDARY SECTOR,TERTIARY SECTOR,TOTAL CURRENT PRICES,PER CAPITA CURRENT PRICES
2007,14,CHHATTISGARH,DURG,18741,56724,41217,116682,37
2008,14,CHHATTISGARH,DURG,18452,70733,48798,137984,43
2009,14,CHHATTISGARH,DURG,22189,66129,53504,141821,44
2010,14,CHHATTISGARH,DURG,38443,72208,62605,173256,53
2011,14,CHHATTISGARH,DURG,42470,76354,71531,190355,57
2012,14,CHHATTISGARH,DURG,50836,86859,81376,219071,64
2013,14,CHHATTISGARH,DURG,55064,96777,95022,246863,71
2007,14,CHHATTISGARH,BASTAR,14937,6315,10285,31537,24
2008,14,CHHATTISGARH,BASTAR,14884,8550,12299,35732,27
2009,14,CHHATTISGARH,BASTAR,15356,8538,13816,37710,28
2010,14,CHHATTISGARH,BASTAR,16038,9645,16444,42127,30
2011,14,CHHATTISGARH,BASTAR,17737,10099,18813,46649,33
2012,14,CHHATTISGARH,BASTAR,21663,11452,21430,54544,38
2013,14,CHHATTISGARH,BASTAR,23877,13211,25092,62179,43
2007,14,CHHATTISGARH,RAIPUR,20297,90261,68026,178584,50
2008,14,CHHATTISGARH,RAIPUR,20386,111703,85849,217938,59
2009,14,CHHATTISGARH,RAIPUR,24223,101922,99512,225657,59
2010,14,CHHATTISGARH,RAIPUR,31343,109741,127346,268431,68
2011,14,CHHATTISGARH,RAIPUR,34593,120487,151359,306439,75
2012,14,CHHATTISGARH,RAIPUR,41441,139099,184343,364883,87
2013,14,CHHATTISGARH,RAIPUR,44838,154892,223567,423297,98
2007,14,CHHATTISGARH,BILASPUR,16084,23438,32190,71711,30
2008,14,CHHATTISGARH,BILASPUR,16509,31260,40357,88126,36
2009,14,CHHATTISGARH,BILASPUR,25729,30609,46891,103230,41
2010,14,CHHATTISGARH,BILASPUR,28074,34355,58478,120906,47
2011,14,CHHATTISGARH,BILASPUR,31375,37449,68419,137242,52
2012,14,CHHATTISGARH,BILASPUR,38093,42751,81767,162612,59
2013,14,CHHATTISGARH,BILASPUR,41773,49098,97824,188695,67
2007,14,CHHATTISGARH,RAIGARH,8968,40970,13378,63315,45
2008,14,CHHATTISGARH,RAIGARH,8848,52396,16235,77479,55
2009,14,CHHATTISGARH,RAIGARH,9326,43090,18556,70972,49
2010,14,CHHATTISGARH,RAIGARH,13793,45947,22557,82296,56
2011,14,CHHATTISGARH,RAIGARH,14955,45861,26084,86900,58
2012,14,CHHATTISGARH,RAIGARH,17616,49469,30275,97360,64
2013,14,CHHATTISGARH,RAIGARH,18742,54457,35540,108738,70
2007,14,CHHATTISGARH,SURGUJA,15030,11332,13622,39984,18
2008,14,CHHATTISGARH,SURGUJA,14694,15251,16347,46292,21
2009,14,CHHATTISGARH,SURGUJA,13739,13999,18605,46343,20
2010,14,CHHATTISGARH,SURGUJA,20758,16674,22701,60133,26
2011,14,CHHATTISGARH,SURGUJA,22083,18192,26149,66424,28
2012,14,CHHATTISGARH,SURGUJA,25862,20047,30310,76220,32
2013,14,CHHATTISGARH,SURGUJA,27222,23178,36004,86404,35
2007,6,MADHYA PRADESH,JABALPUR,5086,20565,56187,81837,35
2008,6,MADHYA PRADESH,JABALPUR,6166,26999,69138,102302,43
2009,6,MADHYA PRADESH,JABALPUR,6752,29899,78142,114793,48
2010,6,MADHYA PRADESH,JABALPUR,8145,35744,95445,139334,57
2011,6,MADHYA PRADESH,JABALPUR,9808,41498,110482,161787,66
2012,6,MADHYA PRADESH,JABALPUR,12029,47339,129175,188542,76
2013,6,MADHYA PRADESH,JABALPUR,15562,52336,148114,216012,85
2007,6,MADHYA PRADESH,BALAGHAT,8970,5674,13323,27967,17
2008,6,MADHYA PRADESH,BALAGHAT,10862,7393,15947,34202,21
2009,6,MADHYA PRADESH,BALAGHAT,11271,8264,19337,38871,23
2010,6,MADHYA PRADESH,BALAGHAT,13902,9779,24413,48094,29
2011,6,MADHYA PRADESH,BALAGHAT,17030,11447,29426,57903,34
2012,6,MADHYA PRADESH,BALAGHAT,21179,12917,36008,70104,41
2013,6,MADHYA PRADESH,BALAGHAT,27755,14343,41994,84092,48
2007,6,MADHYA PRADESH,CHHINDWARA,13865,11400,17236,42501,21
2008,6,MADHYA PRADESH,CHHINDWARA,16565,14724,20086,51375,25
2009,6,MADHYA PRADESH,CHHINDWARA,17030,16355,23689,57074,28
2010,6,MADHYA PRADESH,CHHINDWARA,15385,18847,28270,62501,30
2011,6,MADHYA PRADESH,CHHINDWARA,19338,21484,33245,74067,35
2012,6,MADHYA PRADESH,CHHINDWARA,24818,23014,39613,87445,41
2013,6,MADHYA PRADESH,CHHINDWARA,33774,25097,46288,105159,49
2007,6,MADHYA PRADESH,NARSINGHPUR,7838,3729,9162,20730,20
2008,6,MADHYA PRADESH,NARSINGHPUR,9396,4893,10732,25021,24
2009,6,MADHYA PRADESH,NARSINGHPUR,12052,5473,12720,30246,28
2010,6,MADHYA PRADESH,NARSINGHPUR,13200,6589,15302,35092,33
2011,6,MADHYA PRADESH,NARSINGHPUR,15694,7414,18018,41126,38
2012,6,MADHYA PRADESH,NARSINGHPUR,19134,8110,21515,48758,44
2013,6,MADHYA PRADESH,NARSINGHPUR,24770,8958,24772,58500,52
2007,6,MADHYA PRADESH,SEONI / SHIVANI,7669,3576,10084,21328,17
2008,6,MADHYA PRADESH,SEONI / SHIVANI,9095,4847,11848,25790,20
2009,6,MADHYA PRADESH,SEONI / SHIVANI,9570,5535,14107,29211,22
2010,6,MADHYA PRADESH,SEONI / SHIVANI,11783,7093,17291,36168,27
2011,6,MADHYA PRADESH,SEONI / SHIVANI,14394,7883,20575,42852,31
2012,6,MADHYA PRADESH,SEONI / SHIVANI,17926,9108,24796,51830,37
2013,6,MADHYA PRADESH,SEONI / SHIVANI,23609,10307,28604,62520,44
2007,6,MADHYA PRADESH,MANDLA,5150,2455,8064,15670,16
2008,6,MADHYA PRADESH,MANDLA,6522,3296,9606,19424,19
2009,6,MADHYA PRADESH,MANDLA,6457,3709,11529,21695,21
2010,6,MADHYA PRADESH,MANDLA,8327,4661,14215,27204,26
2011,6,MADHYA PRADESH,MANDLA,10519,5402,17157,33077,31
2012,6,MADHYA PRADESH,MANDLA,13531,6268,20583,40382,38
2013,6,MADHYA PRADESH,MANDLA,18421,7098,23981,49500,45
2007,6,MADHYA PRADESH,SAGAR,10106,15967,20283,46355,21
2008,6,MADHYA PRADESH,SAGAR,11668,20263,23864,55795,25
2009,6,MADHYA PRADESH,SAGAR,13675,21801,28058,63533,28
2010,6,MADHYA PRADESH,SAGAR,15448,24644,33362,73454,31
2011,6,MADHYA PRADESH,SAGAR,19093,29369,39300,87762,37
2012,6,MADHYA PRADESH,SAGAR,24122,32451,46054,102626,42
2013,6,MADHYA PRADESH,SAGAR,32304,35042,52501,119847,49
2007,6,MADHYA PRADESH,DAMOH,5523,4457,9928,19908,17
2008,6,MADHYA PRADESH,DAMOH,6176,5673,11263,23112,19
2009,6,MADHYA PRADESH,DAMOH,7352,6219,12660,26231,21
2010,6,MADHYA PRADESH,DAMOH,8256,7074,14989,30319,24
2011,6,MADHYA PRADESH,DAMOH,9841,7730,17322,34894,28
2012,6,MADHYA PRADESH,DAMOH,11931,8537,19871,40339,31
2013,6,MADHYA PRADESH,DAMOH,15246,9121,22670,47037,36
2007,6,MADHYA PRADESH,TIKAMGARH,6926,3476,7777,18179,14
2008,6,MADHYA PRADESH,TIKAMGARH,7897,4445,9021,21363,16
2009,6,MADHYA PRADESH,TIKAMGARH,8753,4968,10228,23949,17
2010,6,MADHYA PRADESH,TIKAMGARH,10133,5973,12340,28447,20
2011,6,MADHYA PRADESH,TIKAMGARH,12292,6858,14477,33628,23
2012,6,MADHYA PRADESH,TIKAMGARH,15255,7857,16903,40015,27
2013,6,MADHYA PRADESH,TIKAMGARH,20054,8799,19285,48138,32
2007,6,MADHYA PRADESH,CHHATARPUR,7618,5146,11981,24745,15
2008,6,MADHYA PRADESH,CHHATARPUR,8826,7001,13986,29812,18
2009,6,MADHYA PRADESH,CHHATARPUR,9949,7705,16283,33937,20
2010,6,MADHYA PRADESH,CHHATARPUR,11495,9732,19400,40626,23
2011,6,MADHYA PRADESH,CHHATARPUR,13709,11491,22724,47924,27
2012,6,MADHYA PRADESH,CHHATARPUR,16682,13518,26514,56715,32
2013,6,MADHYA PRADESH,CHHATARPUR,21457,15263,30223,66943,37
2007,6,MADHYA PRADESH,PANNA,4042,3004,5586,12632,13
2008,6,MADHYA PRADESH,PANNA,4484,3864,6425,14773,15
2009,6,MADHYA PRADESH,PANNA,5645,4241,7493,17379,18
2010,6,MADHYA PRADESH,PANNA,6230,4802,9039,20071,20
2011,6,MADHYA PRADESH,PANNA,7108,5395,10624,23127,23
2012,6,MADHYA PRADESH,PANNA,8220,5936,12437,26593,26
2013,6,MADHYA PRADESH,PANNA,9966,6470,14249,30685,29
2007,6,MADHYA PRADESH,REWA,7159,12003,15569,34730,16
2008,6,MADHYA PRADESH,REWA,8356,15121,18393,41871,19
2009,6,MADHYA PRADESH,REWA,8983,16437,21379,46799,21
2010,6,MADHYA PRADESH,REWA,11257,17811,25652,54719,24
2011,6,MADHYA PRADESH,REWA,13589,19845,30348,63781,27
2012,6,MADHYA PRADESH,REWA,16777,21188,35385,73350,30
2013,6,MADHYA PRADESH,REWA,21917,22436,40962,85315,35
2007,6,MADHYA PRADESH,SIDHI,3005,8455,3988,15449,15
2008,6,MADHYA PRADESH,SIDHI,3622,10538,4793,18952,18
2009,6,MADHYA PRADESH,SIDHI,3579,11526,5936,21040,20
2010,6,MADHYA PRADESH,SIDHI,4664,12160,7130,23954,22
2011,6,MADHYA PRADESH,SIDHI,5732,12771,8261,26763,24
2012,6,MADHYA PRADESH,SIDHI,7169,13449,9755,30372,26
2013,6,MADHYA PRADESH,SIDHI,9474,13980,11371,34824,29
2007,6,MADHYA PRADESH,SATNA,8177,22925,18416,49519,24
2008,6,MADHYA PRADESH,SATNA,9738,28895,21683,60315,29
2009,6,MADHYA PRADESH,SATNA,11636,31398,25275,68309,32
2010,6,MADHYA PRADESH,SATNA,13334,33668,30708,77709,35
2011,6,MADHYA PRADESH,SATNA,16335,35484,35988,87807,39
2012,6,MADHYA PRADESH,SATNA,20472,37748,42528,100747,44
2013,6,MADHYA PRADESH,SATNA,27190,39418,49702,116309,50
2007,6,MADHYA PRADESH,SHAHDOL,2209,9466,5290,16965,17
2008,6,MADHYA PRADESH,SHAHDOL,1521,11804,6124,19449,19
2009,6,MADHYA PRADESH,SHAHDOL,1531,12912,7142,21585,21
2010,6,MADHYA PRADESH,SHAHDOL,1951,13606,8598,24155,23
2011,6,MADHYA PRADESH,SHAHDOL,2383,14110,10128,26621,25
2012,6,MADHYA PRADESH,SHAHDOL,2929,14579,12052,29559,27
2013,6,MADHYA PRADESH,SHAHDOL,3764,15390,13948,33102,30
2007,6,MADHYA PRADESH,GWALIOR,9294,23314,34661,67269,36
2008,6,MADHYA PRADESH,GWALIOR,12103,30283,40854,83239,44
2009,6,MADHYA PRADESH,GWALIOR,12874,33342,47523,93739,48
2010,6,MADHYA PRADESH,GWALIOR,16372,38225,54690,109287,55
2011,6,MADHYA PRADESH,GWALIOR,21259,45382,63480,130121,64
2012,6,MADHYA PRADESH,GWALIOR,28427,51037,72903,152367,73
2013,6,MADHYA PRADESH,GWALIOR,40564,54894,83895,179353,84
2007,6,MADHYA PRADESH,SHIVPURI,10275,6095,11594,27964,17
2008,6,MADHYA PRADESH,SHIVPURI,12113,7910,13510,33532,21
2009,6,MADHYA PRADESH,SHIVPURI,14636,8668,15506,38809,23
2010,6,MADHYA PRADESH,SHIVPURI,14999,9797,18464,43260,26
2011,6,MADHYA PRADESH,SHIVPURI,18865,10563,21422,50850,29
2012,6,MADHYA PRADESH,SHIVPURI,24325,11753,24804,60881,35
2013,6,MADHYA PRADESH,SHIVPURI,33344,12628,28507,74479,42
2007,6,MADHYA PRADESH,GUNA,6366,4522,7087,17975,16
2008,6,MADHYA PRADESH,GUNA,8600,6017,8234,22850,20
2009,6,MADHYA PRADESH,GUNA,13362,6777,9497,29635,25
2010,6,MADHYA PRADESH,GUNA,15103,8382,11186,34672,29
2011,6,MADHYA PRADESH,GUNA,18773,9785,13038,41596,34
2012,6,MADHYA PRADESH,GUNA,23970,11250,15084,50304,40
2013,6,MADHYA PRADESH,GUNA,32575,12626,17475,62675,48
2007,6,MADHYA PRADESH,DATIA,4527,2463,4387,11377,16
2008,6,MADHYA PRADESH,DATIA,5215,3274,4933,13422,18
2009,6,MADHYA PRADESH,DATIA,5783,3545,5480,14808,20
2010,6,MADHYA PRADESH,DATIA,6682,4327,6157,17166,22
2011,6,MADHYA PRADESH,DATIA,8261,4844,6963,20068,26
2012,6,MADHYA PRADESH,DATIA,10497,5508,7889,23893,30
2013,6,MADHYA PRADESH,DATIA,14196,6081,8923,29199,35
2007,6,MADHYA PRADESH,MORENA,17793,9234,14326,41354,23
2008,6,MADHYA PRADESH,MORENA,23971,12068,17193,53231,29
2009,6,MADHYA PRADESH,MORENA,26377,13138,19538,59053,31
2010,6,MADHYA PRADESH,MORENA,30636,15138,23763,69536,36
2011,6,MADHYA PRADESH,MORENA,41149,17909,28109,87167,44
2012,6,MADHYA PRADESH,MORENA,56979,20137,32982,110097,55
2013,6,MADHYA PRADESH,MORENA,84249,21845,38343,144436,70
2007,6,MADHYA PRADESH,BHIND,11934,6921,9915,28770,18
2008,6,MADHYA PRADESH,BHIND,15027,8997,11548,35572,22
2009,6,MADHYA PRADESH,BHIND,17781,9715,13126,40622,25
2010,6,MADHYA PRADESH,BHIND,20198,11184,15414,46796,28
2011,6,MADHYA PRADESH,BHIND,25807,11394,17870,55071,32
2012,6,MADHYA PRADESH,BHIND,33964,11860,20760,66584,38
2013,6,MADHYA PRADESH,BHIND,47680,12771,23923,84374,48
2007,6,MADHYA PRADESH,INDORE,12486,83145,93554,189185,65
2008,6,MADHYA PRADESH,INDORE,15663,108123,111114,234900,78
2009,6,MADHYA PRADESH,INDORE,21829,121173,128944,271946,88
2010,6,MADHYA PRADESH,INDORE,27673,135726,150606,314004,99
2011,6,MADHYA PRADESH,INDORE,36257,162784,176199,375240,115
2012,6,MADHYA PRADESH,INDORE,48970,184442,205330,438742,130
2013,6,MADHYA PRADESH,INDORE,70607,196974,238860,506440,146
2007,6,MADHYA PRADESH,RATLAM,11596,9512,17034,38142,28
2008,6,MADHYA PRADESH,RATLAM,14567,12266,19641,46474,34
2009,6,MADHYA PRADESH,RATLAM,16095,13654,22896,52645,38
2010,6,MADHYA PRADESH,RATLAM,13623,15568,26967,56159,39
2011,6,MADHYA PRADESH,RATLAM,18409,17274,31025,66709,46
2012,6,MADHYA PRADESH,RATLAM,25613,19249,36025,80887,55
2013,6,MADHYA PRADESH,RATLAM,38019,20605,41646,100270,66
2007,6,MADHYA PRADESH,UJJAIN,15013,16046,25727,56786,30
2008,6,MADHYA PRADESH,UJJAIN,18490,20605,29672,68766,36
2009,6,MADHYA PRADESH,UJJAIN,23906,22623,34115,80643,42
2010,6,MADHYA PRADESH,UJJAIN,23143,25726,39613,88481,45
2011,6,MADHYA PRADESH,UJJAIN,31184,26352,45850,103386,52
2012,6,MADHYA PRADESH,UJJAIN,43296,29460,53078,125833,62
2013,6,MADHYA PRADESH,UJJAIN,64164,31678,61168,157009,77
2007,6,MADHYA PRADESH,MANDSAUR,11507,5562,13917,30985,24
2008,6,MADHYA PRADESH,MANDSAUR,15553,7268,16204,39026,30
2009,6,MADHYA PRADESH,MANDSAUR,21223,8402,19092,48717,37
2010,6,MADHYA PRADESH,MANDSAUR,19552,9737,22776,52065,39
2011,6,MADHYA PRADESH,MANDSAUR,26418,10485,26821,63724,48
2012,6,MADHYA PRADESH,MANDSAUR,36774,11669,31922,80365,59
2013,6,MADHYA PRADESH,MANDSAUR,54638,12858,36964,104460,76
2007,6,MADHYA PRADESH,DEWAS,14279,12603,14465,41346,28
2008,6,MADHYA PRADESH,DEWAS,17658,16159,16729,50546,34
2009,6,MADHYA PRADESH,DEWAS,23225,17655,19402,60282,40
2010,6,MADHYA PRADESH,DEWAS,24538,20133,23003,67673,44
2011,6,MADHYA PRADESH,DEWAS,31220,21471,26558,79249,51
2012,6,MADHYA PRADESH,DEWAS,40854,24135,30832,95821,60
2013,6,MADHYA PRADESH,DEWAS,56980,27497,35773,120250,74
2007,6,MADHYA PRADESH,DHAR,17204,13162,21024,51389,26
2008,6,MADHYA PRADESH,DHAR,21913,17025,24396,63335,31
2009,6,MADHYA PRADESH,DHAR,24846,19155,28485,72486,35
2010,6,MADHYA PRADESH,DHAR,28471,21872,33902,84245,39
2011,6,MADHYA PRADESH,DHAR,37345,23087,39687,100119,46
2012,6,MADHYA PRADESH,DHAR,50440,25396,46805,122641,55
2013,6,MADHYA PRADESH,DHAR,72665,26655,55110,154430,67
2007,6,MADHYA PRADESH,JHABUA,3786,1882,3691,9360,10
2008,6,MADHYA PRADESH,JHABUA,4448,2461,4371,11281,12
2009,6,MADHYA PRADESH,JHABUA,4559,2812,5028,12399,13
2010,6,MADHYA PRADESH,JHABUA,5653,3519,6176,15349,15
2011,6,MADHYA PRADESH,JHABUA,7029,3947,7377,18354,18
2012,6,MADHYA PRADESH,JHABUA,8950,4485,8769,22204,21
2013,6,MADHYA PRADESH,JHABUA,12095,5104,10367,27566,25
2007,6,MADHYA PRADESH,KHARGONE / WEST NIMAR,11707,7077,15308,34092,20
2008,6,MADHYA PRADESH,KHARGONE / WEST NIMAR,15160,9146,17837,42144,24
2009,6,MADHYA PRADESH,KHARGONE / WEST NIMAR,19524,10289,20503,50316,28
2010,6,MADHYA PRADESH,KHARGONE / WEST NIMAR,21545,12181,24343,58069,32
2011,6,MADHYA PRADESH,KHARGONE / WEST NIMAR,28805,13628,28376,70809,38
2012,6,MADHYA PRADESH,KHARGONE / WEST NIMAR,39642,15317,33434,88393,46
2013,6,MADHYA PRADESH,KHARGONE / WEST NIMAR,58203,16981,38851,114034,58
2007,6,MADHYA PRADESH,KHANDWA / EAST NIMAR,7327,5473,9861,22661,19
2008,6,MADHYA PRADESH,KHANDWA / EAST NIMAR,8232,6946,11509,26687,22
2009,6,MADHYA PRADESH,KHANDWA / EAST NIMAR,9996,7878,13269,31143,25
2010,6,MADHYA PRADESH,KHANDWA / EAST NIMAR,10721,9329,15704,35754,28
2011,6,MADHYA PRADESH,KHANDWA / EAST NIMAR,13289,10124,18206,41618,32
2012,6,MADHYA PRADESH,KHANDWA / EAST NIMAR,16863,11159,21365,49387,37
2013,6,MADHYA PRADESH,KHANDWA / EAST NIMAR,22726,12459,24619,59804,44
2007,6,MADHYA PRADESH,SEHORE,11798,3217,10849,25864,21
2008,6,MADHYA PRADESH,SEHORE,14577,4167,12557,31300,25
2009,6,MADHYA PRADESH,SEHORE,18096,4694,14781,37571,30
2010,6,MADHYA PRADESH,SEHORE,17680,5689,17624,40993,32
2011,6,MADHYA PRADESH,SEHORE,22210,6008,20550,48767,37
2012,6,MADHYA PRADESH,SEHORE,28669,6773,24436,59877,45
2013,6,MADHYA PRADESH,SEHORE,39408,7580,28532,75520,55
2007,6,MADHYA PRADESH,RAISEN,6591,6774,10447,23811,19
2008,6,MADHYA PRADESH,RAISEN,7585,8829,12117,28532,23
2009,6,MADHYA PRADESH,RAISEN,10382,9695,14168,34245,27
2010,6,MADHYA PRADESH,RAISEN,11261,11466,16976,39703,30
2011,6,MADHYA PRADESH,RAISEN,13122,11455,19549,44126,33
2012,6,MADHYA PRADESH,RAISEN,15595,12802,23046,51442,38
2013,6,MADHYA PRADESH,RAISEN,19572,14009,26555,60136,44
2007,6,MADHYA PRADESH,VIDISHA,7491,4841,11683,24015,18
2008,6,MADHYA PRADESH,VIDISHA,8803,6401,13619,28822,21
2009,6,MADHYA PRADESH,VIDISHA,9879,7202,16324,33405,24
2010,6,MADHYA PRADESH,VIDISHA,9739,8716,19519,37974,27
2011,6,MADHYA PRADESH,VIDISHA,11347,10555,22771,44672,31
2012,6,MADHYA PRADESH,VIDISHA,13541,11860,27291,52692,35
2013,6,MADHYA PRADESH,VIDISHA,17127,13112,31822,62061,41
2007,6,MADHYA PRADESH,BETUL,10030,5784,14758,30572,20
2008,6,MADHYA PRADESH,BETUL,12402,7309,17689,37400,25
2009,6,MADHYA PRADESH,BETUL,13292,8165,21186,42643,28
2010,6,MADHYA PRADESH,BETUL,16529,9203,26226,51957,33
2011,6,MADHYA PRADESH,BETUL,20669,10061,31440,62170,39
2012,6,MADHYA PRADESH,BETUL,26437,10915,38145,75497,47
2013,6,MADHYA PRADESH,BETUL,35887,11904,44782,92574,57
2007,6,MADHYA PRADESH,RAJGARH,10637,4603,11360,26599,19
2008,6,MADHYA PRADESH,RAJGARH,9180,6103,13218,28501,20
2009,6,MADHYA PRADESH,RAJGARH,13773,6782,14954,35508,24
2010,6,MADHYA PRADESH,RAJGARH,19545,8194,18111,45850,30
2011,6,MADHYA PRADESH,RAJGARH,26149,8954,21043,56146,36
2012,6,MADHYA PRADESH,RAJGARH,36007,10475,24719,71200,45
2013,6,MADHYA PRADESH,RAJGARH,52874,11423,28780,93077,58
2007,6,MADHYA PRADESH,SHAJAPUR,13463,4979,12378,30820,22
2008,6,MADHYA PRADESH,SHAJAPUR,16753,6476,14358,37587,26
2009,6,MADHYA PRADESH,SHAJAPUR,21719,7348,16531,45598,31
2010,6,MADHYA PRADESH,SHAJAPUR,25144,7811,19703,52658,35
2011,6,MADHYA PRADESH,SHAJAPUR,32942,7471,22950,63364,42
2012,6,MADHYA PRADESH,SHAJAPUR,44444,8124,27044,79611,52
2013,6,MADHYA PRADESH,SHAJAPUR,63965,8887,31507,104359,67
2007,6,MADHYA PRADESH,HOSHANGABAD,9356,6230,15498,31084,26
2008,6,MADHYA PRADESH,HOSHANGABAD,11131,8164,18423,37718,32
2009,6,MADHYA PRADESH,HOSHANGABAD,12990,9239,21730,43958,36
2010,6,MADHYA PRADESH,HOSHANGABAD,14804,10951,26008,51763,42
2011,6,MADHYA PRADESH,HOSHANGABAD,17711,12311,30306,60327,49
2012,6,MADHYA PRADESH,HOSHANGABAD,21709,13409,35706,70825,56
2013,6,MADHYA PRADESH,HOSHANGABAD,28256,14661,41021,83938,66
2007,1,ANDHRA PRADESH,SRIKAKULAM,31626,18529,39402,89556,34
2008,1,ANDHRA PRADESH,SRIKAKULAM,36025,22561,46569,105155,40
2009,1,ANDHRA PRADESH,SRIKAKULAM,46315,24753,54451,125519,47
2010,1,ANDHRA PRADESH,SRIKAKULAM,62631,30738,68885,162253,60
2011,1,ANDHRA PRADESH,SRIKAKULAM,66589,36678,79017,182284,67
2012,1,ANDHRA PRADESH,SRIKAKULAM,78061,40830,92922,211812,78
2013,1,ANDHRA PRADESH,SRIKAKULAM,89340,44586,107805,241731,88
2007,1,ANDHRA PRADESH,VISAKHAPATNAM,29356,73881,106732,209969,51
2008,1,ANDHRA PRADESH,VISAKHAPATNAM,34668,89582,126879,251129,61
2009,1,ANDHRA PRADESH,VISAKHAPATNAM,41951,96666,137396,276013,66
2010,1,ANDHRA PRADESH,VISAKHAPATNAM,56864,115975,162152,334991,79
2011,1,ANDHRA PRADESH,VISAKHAPATNAM,60319,134703,178296,373318,87
2012,1,ANDHRA PRADESH,VISAKHAPATNAM,70434,144278,202378,417091,96
2013,1,ANDHRA PRADESH,VISAKHAPATNAM,80192,154507,235736,470435,107
2007,1,ANDHRA PRADESH,EAST GODAVARI,60821,60907,89756,211483,42
2008,1,ANDHRA PRADESH,EAST GODAVARI,66547,73473,102879,242899,48
2009,1,ANDHRA PRADESH,EAST GODAVARI,69354,78716,119365,267435,52
2010,1,ANDHRA PRADESH,EAST GODAVARI,90293,96643,144075,331011,65
2011,1,ANDHRA PRADESH,EAST GODAVARI,94983,108716,163016,366714,71
2012,1,ANDHRA PRADESH,EAST GODAVARI,108785,115615,186996,411395,79
2013,1,ANDHRA PRADESH,EAST GODAVARI,122095,123701,211445,457241,88
2007,1,ANDHRA PRADESH,WEST GODAVARI,54414,34670,69530,158614,41
2008,1,ANDHRA PRADESH,WEST GODAVARI,61601,41572,79987,183160,47
2009,1,ANDHRA PRADESH,WEST GODAVARI,78299,44215,93084,215598,55
2010,1,ANDHRA PRADESH,WEST GODAVARI,100187,54232,114022,268440,68
2011,1,ANDHRA PRADESH,WEST GODAVARI,102086,65835,129510,297431,76
2012,1,ANDHRA PRADESH,WEST GODAVARI,117187,69090,149728,336005,85
2013,1,ANDHRA PRADESH,WEST GODAVARI,130673,73949,171384,376007,95
2007,1,ANDHRA PRADESH,KRISHNA,50218,46627,96437,193282,44
2008,1,ANDHRA PRADESH,KRISHNA,58776,56401,110552,225729,51
2009,1,ANDHRA PRADESH,KRISHNA,70344,61247,125655,257246,58
2010,1,ANDHRA PRADESH,KRISHNA,93375,73692,151725,318792,71
2011,1,ANDHRA PRADESH,KRISHNA,97348,88550,171541,357439,79
2012,1,ANDHRA PRADESH,KRISHNA,113238,96549,195760,405547,89
2013,1,ANDHRA PRADESH,KRISHNA,128335,104101,222683,455118,99
2007,1,ANDHRA PRADESH,GUNTUR,70407,58093,96603,225104,48
2008,1,ANDHRA PRADESH,GUNTUR,79185,67826,109822,256833,54
2009,1,ANDHRA PRADESH,GUNTUR,89253,72896,125108,287257,60
2010,1,ANDHRA PRADESH,GUNTUR,98151,88036,152090,338276,70
2011,1,ANDHRA PRADESH,GUNTUR,100407,108490,172623,381520,78
2012,1,ANDHRA PRADESH,GUNTUR,115634,115312,197406,428352,87
2013,1,ANDHRA PRADESH,GUNTUR,129387,121634,224620,475640,95
2007,1,ANDHRA PRADESH,S.P.S. NELLORE,38487,32212,54729,125428,44
2008,1,ANDHRA PRADESH,S.P.S. NELLORE,46569,40605,64187,151361,53
2009,1,ANDHRA PRADESH,S.P.S. NELLORE,48003,44642,74288,166933,58
2010,1,ANDHRA PRADESH,S.P.S. NELLORE,60704,50704,93023,204431,70
2011,1,ANDHRA PRADESH,S.P.S. NELLORE,65719,59189,108043,232951,79
2012,1,ANDHRA PRADESH,S.P.S. NELLORE,79095,64745,126153,269993,90
2013,1,ANDHRA PRADESH,S.P.S. NELLORE,92684,70586,144522,307792,101
2007,1,ANDHRA PRADESH,KURNOOL,37357,39684,64600,141641,37
2008,1,ANDHRA PRADESH,KURNOOL,41469,44176,73153,158798,41
2009,1,ANDHRA PRADESH,KURNOOL,44617,48492,81406,174515,44
2010,1,ANDHRA PRADESH,KURNOOL,52305,57721,100323,210350,53
2011,1,ANDHRA PRADESH,KURNOOL,53156,66209,112196,231561,57
2012,1,ANDHRA PRADESH,KURNOOL,60758,73777,128081,262616,64
2013,1,ANDHRA PRADESH,KURNOOL,67248,76649,147720,291616,70
2007,1,ANDHRA PRADESH,ANANTHAPUR,35414,28415,65255,129084,33
2008,1,ANDHRA PRADESH,ANANTHAPUR,43635,32174,74893,150702,38
2009,1,ANDHRA PRADESH,ANANTHAPUR,63990,35336,82364,181690,46
2010,1,ANDHRA PRADESH,ANANTHAPUR,70718,42440,102937,216095,54
2011,1,ANDHRA PRADESH,ANANTHAPUR,77184,51027,117512,245723,60
2012,1,ANDHRA PRADESH,ANANTHAPUR,95470,56371,134574,286415,69
2013,1,ANDHRA PRADESH,ANANTHAPUR,114371,66444,155858,336673,81
2007,1,ANDHRA PRADESH,KADAPA YSR,23103,24769,50657,98528,36
2008,1,ANDHRA PRADESH,KADAPA YSR,25755,29270,59788,114813,41
2009,1,ANDHRA PRADESH,KADAPA YSR,33960,32874,74296,141131,50
2010,1,ANDHRA PRADESH,KADAPA YSR,44843,39748,94761,179352,63
2011,1,ANDHRA PRADESH,KADAPA YSR,43114,46560,110751,200425,70
